term_name,coefficient,feature_source,knot_info
intercept,912.0469724236623,intercept,
Ad %_sp_4,295.3674253942056,Ad %,
Ad %_sp_6,-234.35268940035593,Ad %,
Binder_20G80S,225.49606066575376,Binder,
Binder_GUL,-225.49587739262773,Binder,
Ad %_sp_2,-199.2905975458946,Ad %,
Cw_f_sp_6,194.94650617414314,Cw_f,
E/C_sp_1,192.99753706328505,E/C,
Ad %_sp_3,171.73129545640302,Ad %,
E/C_sp_5,-139.5598036219399,E/C,
Cw_f_sp_2,-127.47399198108894,Cw_f,
E/C_sp_6,-72.19715042552592,E/C,
P80 (µm)_sp_6,57.91738011968293,P80 (µm),
P80 (µm)_sp_2,-56.64223567008342,P80 (µm),
Gs_sp_6,52.60157284137523,Gs,
phyllosilicates (%)_sp_1,51.71019637855795,phyllosilicates (%),
muscovite_ratio_sp_1,51.29254811672644,muscovite_ratio,
Cw_f_sp_1,-50.403940655949185,Cw_f,
muscovite_total (%)_sp_1,50.35510609925548,muscovite_total (%),
Ad %_sp_1,45.390969943056604,Ad %,
E/C_sp_0,42.594667329994714,E/C,
muscovite_total (%)_sp_3,-42.169960650322295,muscovite_total (%),
Cw_f_sp_3,-39.32167650963731,Cw_f,
Ad %_sp_5,-38.56012361021246,Ad %,
Gs_sp_5,-38.16254923674721,Gs,
P20 (µm)_sp_6,-38.11750023505656,P20 (µm),
muscovite_added (%)_sp_1,37.29940623815784,muscovite_added (%),
P20 (µm)_sp_5,35.509464631044,P20 (µm),
muscovite_added (%)_sp_3,-34.497792572545826,muscovite_added (%),
muscovite_ratio_sp_3,-29.476748103820896,muscovite_ratio,
muscovite_added (%)_sp_2,-28.86777456644682,muscovite_added (%),
P20 (µm)_sp_4,28.696981216181925,P20 (µm),
muscovite_total (%)_sp_2,-26.186824811414123,muscovite_total (%),
muscovite_ratio_sp_4,-25.298997433194415,muscovite_ratio,
muscovite_ratio_sp_2,-23.290077089289795,muscovite_ratio,
phyllosilicates (%)_sp_2,-23.07660036156779,phyllosilicates (%),
phyllosilicates (%)_sp_4,-22.9620899946436,phyllosilicates (%),
P80 (µm)_sp_1,-21.4822427421718,P80 (µm),
Gs_sp_2,-21.088671097006884,Gs,
phyllosilicates (%)_sp_3,-18.012149460635836,phyllosilicates (%),
Ad %_sp_0,11.552332541326448,Ad %,
muscovite_total (%)_sp_4,-11.41214487930355,muscovite_total (%),
P80 (µm)_sp_5,7.76093716210377,P80 (µm),
phyllosilicates (%)_sp_0,7.744237818920354,phyllosilicates (%),
muscovite_ratio_sp_0,7.691086843282967,muscovite_ratio,
muscovite_total (%)_sp_0,7.688074231168873,muscovite_total (%),
muscovite_added (%)_sp_0,7.604398959354771,muscovite_added (%),
E/C_sp_4,-7.392175583898883,E/C,
muscovite_ratio_sp_6,7.15273394866932,muscovite_ratio,
P20 (µm)_sp_1,-6.207903760937072,P20 (µm),
muscovite_total (%)_sp_6,5.770701753418989,muscovite_total (%),
phyllosilicates (%)_sp_6,5.6336470244267,phyllosilicates (%),
Gs_sp_4,-5.164931511827826,Gs,
muscovite_added (%)_sp_6,5.099191983083793,muscovite_added (%),
Cw_f_sp_5,4.180060281992414,Cw_f,
Cw_f_sp_4,-3.600843907170251,Cw_f,
muscovite_total (%)_sp_5,3.434568485035295,muscovite_total (%),
Cw_f_sp_0,-2.9211519014655036,Cw_f,
muscovite_added (%)_sp_5,2.7709100223421212,muscovite_added (%),
muscovite_added (%)_sp_4,-1.8827621256612166,muscovite_added (%),
E/C_sp_2,1.7798669702906178,E/C,
Gs_sp_3,-0.0,Gs,
Gs_sp_1,0.0,Gs,
P20 (µm)_sp_2,-0.0,P20 (µm),
P20 (µm)_sp_3,0.0,P20 (µm),
phyllosilicates (%)_sp_5,-0.0,phyllosilicates (%),
P20 (µm)_sp_0,-0.0,P20 (µm),
Gs_sp_0,0.0,Gs,
P80 (µm)_sp_4,0.0,P80 (µm),
P80 (µm)_sp_3,-0.0,P80 (µm),
P80 (µm)_sp_0,0.0,P80 (µm),
E/C_sp_3,-0.0,E/C,
muscovite_ratio_sp_5,0.0,muscovite_ratio,
