feature,importance_mean,importance_std
Binder,323.17451150425876,57.724776389484916
Ad %,225.26426638851973,33.53657717234035
Cw_f,94.58330440916556,20.170950361433587
E/C,64.14524492002344,14.873094729410733
phyllosilicates (%),50.36785242389344,18.939632871921003
muscovite_total (%),30.78062911334664,12.918334877729459
P80 (µm),25.634873057500915,10.622022929873
Gs,19.412645439525555,11.46536645776759
muscovite_ratio,10.413105477547235,5.248391346125163
muscovite_added (%),8.483200009163234,4.383732395690408
P20 (µm),2.9611852403642347,2.397277291589727
